dataset,tag,arm,model,regime,medae,hit3,hit3_lo,bin_floor,smooth_floor,R12,R12_bin_floor,R12_smooth_floor,R23,R23_lo,R23_bin_floor,R23_smooth_floor,R13_smooth_floor,hit1_smooth_floor,excess_bin,excess_smooth,R23_excess_smooth,R12_excess_smooth
esol,opus5,t1024r,Claude Opus 5,heavy,0.0,60.804,56.0302,2.9667,97.2362,80.8383,31.9277,97.4811,89.6296,85.9919,13.137,100.0,97.4811,99.7487,20.4955,0.6253,0.8963,0.8293
esol,qwen3,reg,Qwen3-235B,untestable,0.8965,0.5025,0.0,0.5054,0.3656,7.7586,9.089,12.0362,22.2222,0.0,18.7756,10.5054,1.2644,28.9121,0.9943,1.3745,2.1153,0.6446
esol,qwen3,t1024,Qwen3-235B,untestable,0.895,0.0,0.0,0.2368,0.397,8.1818,7.7957,12.31,0.0,0.0,10.6505,11.0877,1.3649,29.0854,0.0,0.0,0.0,0.6646
esol,sol,reg,GPT-5.6 sol,partial,0.56,1.7632,0.5038,0.5775,0.598,16.0494,13.2845,14.1862,26.9231,10.5132,11.3971,10.2941,1.4603,40.9485,3.0532,2.9485,2.6154,1.1313
esol,sol,t1024,GPT-5.6 sol,heavy,0.24,12.3116,9.0452,1.393,1.3668,33.75,22.5522,19.0523,60.4938,49.3329,11.7104,11.0356,2.1025,65.0088,8.8382,9.0074,5.4817,1.7714
esol,sol,t1024r,GPT-5.6 sol,heavy,0.24,14.0704,10.804,1.7642,1.4033,37.2951,23.249,18.7221,61.5385,51.7197,14.1149,11.5488,2.1622,64.9008,7.9755,10.0269,5.3286,1.992
esol,sonnet5,reg,Claude Sonnet 5,partial,0.414,2.0101,0.7538,0.5624,0.7814,16.1616,13.9813,15.0299,25.0,10.0,8.8615,10.5156,1.5805,49.441,3.5741,2.5724,2.3774,1.0753
esol,sonnet5,t1024,Claude Sonnet 5,partial,0.4,2.2613,1.005,0.7997,0.8053,11.8227,14.46,15.3194,37.5,20.0,11.6702,10.4619,1.6027,50.245,2.8277,2.8081,3.5844,0.7717
esol,terra,reg,GPT-5.6 terra,clean,0.662,0.5025,0.0,0.6538,0.5289,13.7931,14.3317,13.0409,10.0,0.0,12.5932,11.114,1.4494,36.4912,0.7686,0.9501,0.8998,1.0577
esol,terra,t1024,GPT-5.6 terra,heavy,0.351,5.7789,3.5176,1.0396,0.9548,26.2009,18.914,16.1325,38.3333,26.6641,10.737,10.997,1.7741,53.8178,5.5588,6.0526,3.4858,1.6241
freesolv,dsv4pro,t1024,DeepSeek V4 Pro,heavy,0.55,5.3476,2.139,0.6909,0.9453,26.25,13.8444,17.1953,47.619,25.0,11.9845,12.1751,2.0935,45.1536,7.74,5.657,3.9112,1.5266
freesolv,gem25pro,reg,Gemini 2.5 Pro,clean,0.79,0.7812,0.0,0.3849,0.6549,14.6154,12.1061,15.7042,15.7895,0.0,9.6889,11.5606,1.8155,36.0755,2.0296,1.1928,1.3658,0.9307
freesolv,gem25pro,t1024,Gemini 2.5 Pro,clean,0.88,0.5222,0.0,0.4903,0.5586,15.7895,11.4856,14.7885,11.1111,0.0,14.3068,11.1835,1.6539,33.7747,1.0651,0.9348,0.9935,1.0677
freesolv,gem31flashlite,reg,Gemini 3.1 Flash-Lite,untestable,0.94,0.2604,0.0,0.3251,0.5143,11.9266,11.4448,14.8667,7.6923,0.0,10.271,10.7512,1.5983,32.1784,0.801,0.5063,0.7155,0.8022
freesolv,gem31flashlite,t1024,Gemini 3.1 Flash-Lite,clean,0.77,0.2604,0.0,0.4113,0.6576,12.0,10.1856,15.8224,6.6667,0.0,12.2449,11.3305,1.7928,36.6784,0.6331,0.396,0.5884,0.7584
freesolv,gem31pro,reg,Gemini 3.1 Pro,heavy,0.5,2.6042,1.2956,0.4842,0.9714,20.6522,13.962,17.4164,26.3158,12.9032,7.8317,11.7277,2.0425,47.556,5.3784,2.681,2.2439,1.1858
freesolv,gem31pro,t1024,Gemini 3.1 Pro,partial,0.53,2.3438,1.0417,0.6152,0.9401,18.7845,13.4862,17.2624,26.4706,11.4206,10.5108,11.8652,2.0482,45.8984,3.8098,2.4931,2.2309,1.0882
freesolv,gem35flash,reg,Gemini 3.5 Flash,heavy,0.61,2.8646,1.3021,0.4784,0.8372,24.026,12.8786,16.8691,29.7297,15.7794,9.8073,11.7486,1.9819,42.2448,5.9879,3.4215,2.5305,1.4243
freesolv,gem35flash,t1024,Gemini 3.5 Flash,heavy,0.41,3.9062,2.0768,0.8982,1.2188,23.2673,14.2851,18.3444,31.9149,18.4151,13.1494,12.5705,2.306,52.8516,4.3489,3.2051,2.5389,1.2684
freesolv,gem36flash,reg,Gemini 3.6 Flash,clean,0.69,1.5625,0.5208,0.5561,0.7057,19.7368,12.8061,16.1409,20.0,6.4418,11.8994,11.1385,1.7979,39.2539,2.8097,2.214,1.7956,1.2228
freesolv,gem36flash,t1024,Gemini 3.6 Flash,partial,0.39,2.611,1.0444,0.7595,1.2292,22.3301,14.2869,19.0686,21.7391,9.6076,10.5619,11.8772,2.2648,54.2721,3.4378,2.1242,1.8303,1.171
freesolv,gem3flash,reg,Gemini 3 Flash,heavy,0.56,3.125,1.5625,0.5467,0.8776,23.871,13.2493,16.9985,32.4324,18.176,11.2036,11.5748,1.9675,44.6042,5.7161,3.5608,2.802,1.4043
freesolv,gem3flash,t1024,Gemini 3 Flash,heavy,0.38,4.1667,2.3438,0.6962,1.2344,22.7907,14.2336,18.9987,32.6531,20.3611,9.6724,11.7954,2.241,55.082,5.9849,3.3756,2.7683,1.1996
freesolv,glm52,t1024,GLM 5.2,untestable,0.85,2.1739,0.5435,0.322,0.5977,16.6667,13.7097,14.8117,40.0,10.0,7.9366,11.8605,1.7567,34.0208,6.7512,3.6374,3.3725,1.1252
freesolv,gpt41,reg,GPT-4.1,untestable,1.36,0.7812,0.0,0.2286,0.3737,14.4737,14.4423,13.4391,27.2727,0.0,7.7256,11.2903,1.5173,24.6289,3.4173,2.0905,2.4156,1.077
freesolv,gpt41,t1024,GPT-4.1,untestable,1.355,0.5208,0.0,0.2966,0.3672,8.8889,12.2795,13.49,25.0,0.0,10.633,10.8712,1.4665,25.0378,1.7559,1.4183,2.2996,0.6589
freesolv,gpt5,reg,GPT-5,untestable,1.6,0.5208,0.0,0.1656,0.3242,13.8889,8.2994,12.9199,20.0,0.0,10.8961,11.3182,1.4623,22.1719,3.1449,1.6063,1.7671,1.075
freesolv,gpt5,t1024,GPT-5,untestable,1.8235,0.7812,0.0,0.207,0.2969,13.6986,11.7348,12.4887,30.0,0.0,9.4687,11.8257,1.4769,20.1016,3.7739,2.6314,2.5368,1.0969
freesolv,gpt55,reg,GPT-5.5,partial,0.745,2.6042,1.0417,0.8866,0.694,23.8462,14.8962,16.064,32.2581,15.9947,18.0974,11.5593,1.8569,37.375,2.9373,3.7524,2.7907,1.4845
freesolv,gpt55,t1024,GPT-5.5,heavy,0.305,7.0312,4.4271,1.4883,1.7279,30.7692,16.5344,20.9418,39.7059,27.8644,17.1915,13.588,2.8456,60.7214,4.7243,4.0693,2.9221,1.4693
freesolv,grok43,reg,Grok 4.3,heavy,0.765,4.4271,2.5977,0.5033,0.651,23.1405,11.3607,15.7135,60.7143,42.3026,14.8792,11.2537,1.7683,36.8164,8.7961,6.8,5.3951,1.4726
freesolv,grok43,t1024,Grok 4.3,heavy,0.61,8.5938,5.7292,1.0486,0.8281,42.4837,18.1072,16.8764,50.7692,38.3309,16.5952,11.5974,1.9572,42.3112,8.1955,10.3774,4.3776,2.5173
freesolv,grok45,reg,Grok 4.5,heavy,0.07,32.5521,28.1185,2.1646,6.4023,61.5942,20.1087,41.684,73.5294,67.3913,17.438,17.3219,7.2205,88.6693,15.0384,5.0844,4.2449,1.4776
freesolv,grok45,t1024,Grok 4.5,heavy,0.07,30.0261,25.5875,2.4787,6.4115,65.3137,20.5959,42.5136,64.9718,57.894,19.9505,17.0051,7.2295,88.6849,12.1136,4.6832,3.8207,1.5363
freesolv,grok45,t1024r,Grok 4.5,heavy,0.07,34.2932,29.3194,2.3173,6.4857,65.9341,20.7692,41.9456,72.7778,66.272,18.3805,17.4472,7.3183,88.6224,14.7988,5.2875,4.1713,1.5719
freesolv,haiku45,reg,Claude Haiku 4.5,untestable,1.66,0.5208,0.0,0.2055,0.3268,14.7059,11.0262,13.249,20.0,0.0,10.6649,11.4091,1.5116,21.6211,2.5343,1.5935,1.753,1.11
freesolv,haiku45,t1024,Claude Haiku 4.5,untestable,2.04,1.3477,0.2695,0.0818,0.2643,13.1148,10.0505,12.4289,62.5,22.1111,4.9779,11.4625,1.4247,18.5534,16.4756,5.0987,5.4526,1.0552
freesolv,kimik3,reg,Kimi K3,clean,1.04,1.5666,0.5222,0.7762,0.4609,19.2308,15.2073,14.5754,30.0,11.7484,19.9596,10.6147,1.5471,29.793,2.0183,3.3987,2.8263,1.3194
freesolv,kimik3,t1024,Kimi K3,heavy,0.56,3.9164,2.0888,0.8978,0.9479,26.1628,14.5217,17.1291,33.3333,19.9902,15.2597,12.3746,2.1197,44.7201,4.3622,4.1316,2.6937,1.5274
freesolv,kimik3,t1024r,Kimi K3,heavy,0.56,3.3854,1.8229,0.6909,0.8984,21.118,13.2456,16.9436,38.2353,22.5806,12.8206,11.8904,2.0147,44.5951,4.9,3.7681,3.2156,1.2464
freesolv,llama4mav,reg,Llama 4 Maverick,clean,1.18,0.5208,0.0,0.2427,0.4128,20.6522,14.4159,14.0828,10.5263,0.0,7.5872,10.695,1.5062,27.4049,2.1459,1.2617,0.9842,1.4665
freesolv,llama4mav,t1024,Llama 4 Maverick,clean,1.18,0.7812,0.0,0.3172,0.4232,15.4639,13.2005,13.64,20.0,0.0,9.2709,11.1838,1.5255,27.7409,2.4628,1.846,1.7883,1.1337
