dataset,tag,hit3_lo,hit3_all_lo,R12_lo,R23_lo,m1_lo,m2_lo,m3_lo,n_usable_lo,regime_lo,verdict_lo,spearman_lo,medae_lo,think_lo,cost_lo,floor_R12_lo,floor_R23_lo,hit3_hi,hit3_all_hi,R12_hi,R23_hi,m1_hi,m2_hi,m3_hi,n_usable_hi,regime_hi,verdict_hi,spearman_hi,medae_hi,think_hi,cost_hi,floor_R12_hi,floor_R23_hi,model,d_hit3,d_R23,d_rho,d_medae,flag_lo,flag_hi,crossed
aqsoldb,gem3flash,0.0,0.0,11.5607,0.0,173,20,0,469,clean,clean,0.8729,0.5474,0.0,0.023,12.139468,11.034906,5.5437,5.2,29.717,41.2698,212,63,26,469,partial,contaminated,0.9082,0.3672,824.0,0.6546,12.139468,11.034906,Gemini 3 Flash,5.5437,41.2698,0.0353,-0.18019999999999997,False,True,True
aqsoldb,gpt41,0.8529,0.8,13.0,30.7692,100,13,4,469,clean,clean,0.7213,0.9792,0.0,0.1837,12.139468,11.034906,0.2132,0.2,10.101,10.0,99,10,1,469,clean,clean,0.7171,0.975,0.0,0.1837,12.139468,11.034906,GPT-4.1,-0.6396999999999999,-20.7692,-0.0042000000000000925,-0.0041999999999999815,False,False,False
aqsoldb,gpt5,0.6397,0.6,6.1404,42.8571,114,7,3,469,clean,clean,0.709,1.0098,0.0,0.2118,12.139468,11.034906,1.0661,1.0,24.7788,17.8571,113,28,5,469,partial,contaminated,0.8361,0.8202,960.0,5.4532,12.139468,11.034906,GPT-5,0.4264,-25.000000000000004,0.1271,-0.1896,False,True,True
aqsoldb,gpt55,0.6397,0.6,14.5985,15.0,137,20,3,469,clean,clean,0.8371,0.7107,0.0,0.263,12.139468,11.034906,6.1834,5.8,26.9608,52.7273,204,55,29,469,partial,contaminated,0.9047,0.415,516.0,5.3677,12.139468,11.034906,GPT-5.5,5.543699999999999,37.7273,0.0676,-0.2957,False,True,True
aqsoldb,grok43,0.2132,0.2,12.7119,6.6667,118,15,1,469,clean,clean,0.7564,1.0422,0.0,0.0949,12.139468,11.034906,1.7131,1.6064,22.0859,22.2222,163,36,8,467,partial,contaminated,0.5313,0.7005,2137.0,3.1203,12.139468,11.034906,Grok 4.3,1.4999,15.555500000000002,-0.22509999999999997,-0.3417,False,True,True
aqsoldb,grok45,0.641,0.6012,18.9189,8.5714,185,35,3,468,partial,contaminated,0.872,0.5,338.5,1.2897,12.139468,11.034906,5.1173,4.8,24.5098,48.0,204,50,24,469,partial,contaminated,0.8864,0.465,937.5,4.0357,12.139468,11.034906,Grok 4.5,4.4763,39.4286,0.014399999999999968,-0.034999999999999976,True,True,False
aqsoldb,haiku45,0.4301,0.4032,5.5046,33.3333,109,6,2,465,clean,clean,0.7728,0.9267,0.0,0.1376,12.139468,11.034906,0.0,0.0,9.0909,0.0,99,9,0,457,clean,clean,0.6721,1.05,410.0,1.4999,12.139468,11.034906,Claude Haiku 4.5,-0.4301,-33.3333,-0.10070000000000001,0.12330000000000008,False,False,False
aqsoldb,kimik3,0.2132,0.2,8.9041,7.6923,146,13,1,469,clean,clean,0.8352,0.7339,0.0,0.5698,12.139468,11.034906,2.9979,2.8112,23.6264,32.5581,182,43,14,467,partial,contaminated,0.9038,0.4944,447.5,8.216,12.139468,11.034906,Kimi K3,2.7847,24.865800000000004,0.0686,-0.2395,False,True,True
aqsoldb,llama4mav,0.0,0.0,9.322,0.0,118,11,0,469,clean,clean,0.7409,0.9737,0.0,0.0184,12.139468,11.034906,0.2132,0.2,12.1739,7.1429,115,14,1,469,clean,clean,0.7684,0.9239,0.0,0.0198,12.139468,11.034906,Llama 4 Maverick,0.2132,7.1429,0.02749999999999997,-0.049799999999999955,False,False,False
aqsoldb,luna,0.4301,0.4032,8.5271,18.1818,129,11,2,465,clean,clean,0.7896,0.7618,0.0,0.0053,12.139468,11.034906,2.1322,2.0,20.8054,32.2581,149,31,10,469,partial,contaminated,0.8786,0.6329,516.0,0.1228,12.139468,11.034906,GPT-5.6 luna,1.7021000000000002,14.0763,0.08900000000000008,-0.12890000000000001,False,True,True
aqsoldb,minimaxm3,1.0893,1.0225,12.6866,29.4118,134,17,5,459,clean,clean,0.7535,0.7544,0.0,2.0482,12.139468,11.034906,1.7505,1.6427,16.3399,32.0,153,25,8,457,trace,contaminated,0.8679,0.61,3591.0,4.6155,12.139468,11.034906,MiniMax M3,0.6612,2.5882000000000005,0.11440000000000006,-0.14439999999999997,False,True,True
aqsoldb,mistrall,0.6397,0.6,12.037,23.0769,108,13,3,469,clean,clean,0.7067,1.105,0.0,0.0233,12.139468,11.034906,0.4264,0.4,14.6789,12.5,109,16,2,469,clean,clean,0.7114,1.0404,0.0,0.0238,12.139468,11.034906,Mistral Large 2512,-0.21330000000000005,-10.576899999999998,0.0047000000000000375,-0.06459999999999999,False,False,False
aqsoldb,opus5,1.919,1.8,19.697,23.0769,198,39,9,469,partial,contaminated,0.9124,0.416,0.0,0.6379,12.139468,11.034906,6.823,6.4,29.1845,47.0588,233,68,32,469,partial,contaminated,0.9298,0.3282,0.0,2.5986,12.139468,11.034906,Claude Opus 5,4.904,23.9819,0.01739999999999997,-0.08779999999999999,True,True,False
aqsoldb,qwen3,0.2132,0.2,8.1395,14.2857,86,7,1,469,clean,clean,0.6526,1.3095,0.0,0.0131,12.139468,11.034906,0.4264,0.4,17.8947,11.7647,95,17,2,469,clean,clean,0.6457,1.2488,0.0,0.0132,12.139468,11.034906,Qwen3-235B,0.2132,-2.521000000000001,-0.006899999999999906,-0.0607000000000002,False,False,False
