dataset,tag,model,level,n_mol,n_calls,parsed,reasoning_med,reasoning_mean,cost,hit1,hit2,hit3,floor,p_hit,R23,m2,m3,n_usable,medae,spearman,selfcons
ppbr,gem31flashlite,Gemini 3.1 Flash-Lite,none,60,180,100.0,0.0,0.0,0.004,63.4615,14.7436,2.5641,2.6564,0.4943,17.3913,23,4,156,2.67,0.2306,1.6667
ppbr,gem31flashlite,Gemini 3.1 Flash-Lite,minimal,60,180,100.0,0.0,0.0,0.004,59.8802,13.7725,2.994,2.3886,0.3628,22.7273,22,5,167,2.36,0.3086,1.6667
ppbr,gem31flashlite,Gemini 3.1 Flash-Lite,low,60,176,100.0,143.0,146.6591,0.0233,60.0,14.8148,3.7037,1.9607,0.0755,25.0,20,5,135,2.885,0.3959,0.0
ppbr,gem31flashlite,Gemini 3.1 Flash-Lite,medium,60,180,100.0,621.0,645.9944,0.0912,72.1429,20.7143,1.4286,1.1804,0.6527,6.8966,29,2,140,1.5,0.3247,3.3333
ppbr,gem31flashlite,Gemini 3.1 Flash-Lite,high,60,180,100.0,1798.0,2006.6111,0.2749,68.1818,16.3636,1.8182,1.8182,1.0,11.1111,18,2,110,2.51,0.2392,3.3333
ppbr,gem35flash,Gemini 3.5 Flash,minimal,60,180,100.0,0.0,0.0,0.0246,50.6024,14.4578,3.6145,4.0319,1.0,25.0,12,3,83,4.165,0.4239,0.0
ppbr,gem35flash,Gemini 3.5 Flash,low,60,180,100.0,515.5,544.5,0.4652,61.1111,16.6667,5.5556,0.0,0.0005,33.3333,3,1,18,3.21,0.5717,15.0
ppbr,gem35flash,Gemini 3.5 Flash,medium,60,180,99.4444,2442.5,2712.4278,2.2237,59.2593,18.5185,3.7037,0.7796,0.2109,20.0,5,1,27,3.23,0.5042,21.6667
ppbr,gem35flash,Gemini 3.5 Flash,high,60,180,100.0,3957.5,4512.3667,3.6789,43.1034,3.4483,1.7241,1.7241,1.0,50.0,2,1,58,3.81,0.5215,16.6667
ppbr,gem3flash,Gemini 3 Flash,none,60,180,100.0,0.0,0.0,0.0087,48.7179,15.3846,2.5641,1.8853,0.4938,16.6667,12,2,78,4.21,0.3934,0.0
ppbr,gem3flash,Gemini 3 Flash,minimal,60,180,99.4444,0.0,0.1167,0.0088,44.7368,17.1053,5.2632,0.6566,0.0005,30.7692,13,4,76,4.61,0.4037,5.0
ppbr,gem3flash,Gemini 3 Flash,low,60,180,100.0,761.5,790.1111,0.2234,45.283,12.2642,1.8868,1.4184,0.5037,15.3846,13,2,106,4.6579,0.455,1.6667
ppbr,gem3flash,Gemini 3 Flash,medium,60,180,100.0,2658.5,2813.7944,0.7678,55.7692,15.3846,3.8462,1.9231,0.0005,25.0,8,2,52,5.21,0.4764,1.6667
ppbr,gem3flash,Gemini 3 Flash,high,60,180,100.0,6034.5,6627.0278,1.7974,52.8302,18.8679,1.8868,1.8868,1.0,10.0,10,1,53,5.525,0.4899,3.3333
ppbr,gpt55,GPT-5.5,none,60,180,100.0,0.0,0.0,0.0925,54.6053,11.8421,0.6579,0.6579,1.0,6.6667,15,1,152,3.215,0.4135,0.0
ppbr,gpt55,GPT-5.5,minimal,60,180,100.0,516.0,639.8611,1.8253,73.5537,14.876,2.4793,1.5087,0.1609,16.6667,18,3,121,2.09,0.3765,1.6667
