dataset,dataset_name,ds_class,model,tag,vendor,arm,blocks,n_call,n_queried,trunc,reasoning,cost,think,n_pred,n_usable,n_mol,level,n_bins,mp_chance_hit,mp_p_hit,mp_chance_deep,mp_p_deep,rs_chance_hit,rs_p_hit,rs_chance_deep,rs_p_deep,rs_chance_hit3,rs_p_hit3,rs_chance_R23,rs_p_R23,pearson,spearman,rmse,medae,m1,m2,m3,h1,h2,h3,hit,hit_stat,deep,deep_stat,hit3,hit3_all,R12,R23,chance_hit,p_hit,chance_deep,p_deep,mb_chance_hit,mb_p_hit,mb_chance_deep,mb_p_deep,hit_lo,hit_hi,deep_lo,deep_hi,chance_hit3,p_hit3,chance_R12,p_R12,chance_R23,p_R23,mb_chance_hit3,mb_p_hit3,mb_chance_R12,mb_p_R12,mb_chance_R23,mb_p_R23,q_hit_joint,q_deep_joint,decided_at,q_hit_used,q_deep_used,regime,excess
freesolv,FreeSolv / SAMPL,measured,Claude Sonnet 5,sonnet5,Anthropic,reg,1,500,500,0.0,none,0.2511,0.0,500,384,384,3,20,1.4117,0.0005,21.0457,0.0015,6.6518,0.5782,43.722,0.2609,6.6518,0.5782,43.722,0.2609,0.9383,0.9541,1.4759,0.54,183,52,25,183,54,26,6.5104,hit3,48.0769,R23,6.5104,5.0,28.4153,48.0769,0.1462,0.0005,13.3715,0.0755,1.1199,0.0005,17.8891,0.0005,4.1667,9.1146,34.5439,62.5089,0.1462,0.0005,10.9286,0.0015,13.3715,0.0755,1.1199,0.0005,14.4765,0.0005,17.8891,0.0005,0.0037,0.0037,3,0.0015907172995780591,0.0015907172995780591,heavy,5.813376194303063
freesolv,FreeSolv / SAMPL,measured,Claude Sonnet 5,sonnet5,Anthropic,t1024,2,500,500,0.0,max_tokens:1024,0.2711,0.0,500,384,384,3,20,1.2594,0.0005,19.4558,0.0015,6.8996,0.6477,46.376,0.3068,6.8996,0.6477,46.376,0.3068,0.94,0.9478,1.521,0.53,185,50,25,185,50,26,6.5104,hit3,50.0,R23,6.5104,5.0,27.027,50.0,0.1388,0.0005,13.8697,0.092,0.9931,0.0005,16.1869,0.0005,4.1667,9.1146,35.8962,64.0038,0.1388,0.0005,10.7,0.0055,13.8697,0.092,0.9931,0.0005,14.0216,0.0005,16.1869,0.0005,0.0018,0.0018,3,0.0015907172995780591,0.0015907172995780591,heavy,6.555633873728728
freesolv,FreeSolv / SAMPL,measured,GPT-5.6 terra,terra,OpenAI,reg,1,500,500,0.0,none,0.0491,0.0,500,384,384,3,20,0.4863,0.0335,12.4709,0.0975,1.4707,0.6767,26.0559,0.5522,1.4707,0.6767,26.0559,0.5522,0.7477,0.8641,3.4809,0.8495,118,20,5,118,21,5,1.3021,hit3,25.0,R23,1.3021,1.0,16.9492,25.0,0.1314,0.001,12.5837,0.2619,0.4493,0.0185,11.8139,0.078,0.2604,2.6042,6.6563,46.6667,0.1314,0.001,9.8756,0.0775,12.5837,0.2619,0.4493,0.0185,13.2516,0.1129,11.8139,0.078,0.0923,0.3065,3,0.04777054794520548,0.17930487804878048,partial,2.8980636545737815
freesolv,FreeSolv / SAMPL,measured,GPT-5.6 terra,terra,OpenAI,t1024,2,500,500,0.0,low,3.2312,1711.0,500,384,384,3,20,0.7897,0.0005,14.2134,0.002,4.012,0.6762,37.4652,0.3698,4.012,0.6762,37.4652,0.3698,0.9281,0.9384,1.49,0.555,172,35,14,172,37,15,3.6458,hit3,40.0,R23,3.6458,2.8,20.3488,40.0,0.1277,0.0005,11.6387,0.0895,0.6331,0.0005,11.8182,0.001,1.8229,5.7292,24.2398,57.1505,0.1277,0.0005,10.4249,0.029,11.6387,0.0895,0.6331,0.0005,13.1223,0.003,11.8182,0.001,0.0018,0.0035,3,0.0015907172995780591,0.0030775510204081634,heavy,5.75864792291897
ld50,LD50 (Zhu),measured,Gemini 2.5 Pro,gem25pro,Google,reg,1,500,500,0.0,minimal,2.1979,835.5,500,497,497,3,20,0.9163,0.011,12.4117,0.0435,1.7571,0.3843,20.4853,0.4463,1.7571,0.3843,20.4853,0.4463,0.3417,0.3594,1.0505,0.5105,216,47,10,216,51,10,2.0121,hit3,21.2766,R23,2.0121,2.0,21.7593,21.2766,0.4522,0.001,11.093,0.0795,0.8569,0.0035,11.7564,0.039,0.8048,3.4205,10.199,33.3333,0.4522,0.001,11.1643,0.0005,11.093,0.0795,0.8569,0.0035,17.1468,0.0025,11.7564,0.039,0.0214,0.179,3,0.009996212121212123,0.09769435215946844,partial,2.348115299334812
ld50,LD50 (Zhu),measured,Gemini 2.5 Pro,gem25pro,Google,t1024,2,500,500,0.0,max_tokens:1024,1.8835,725.0,499,496,496,3,20,0.8833,0.063,14.8968,0.1164,1.3838,0.3808,19.9247,0.3298,1.3838,0.3808,19.9247,0.3298,0.3941,0.4308,1.0217,0.526,212,35,8,212,37,8,1.6129,hit3,22.8571,R23,1.6129,1.6032,16.5094,22.8571,0.4148,0.0015,10.9622,0.0605,0.8516,0.0475,14.4457,0.0985,0.6048,2.8226,9.6699,37.5,0.4148,0.0015,10.8427,0.0115,10.9622,0.0605,0.8516,0.0475,14.0606,0.054,14.4457,0.0985,0.1312,0.2503,3,0.11666123778501628,0.21973076923076926,clean,1.8939643024894317
ld50,LD50 (Zhu),measured,Gemini 3.1 Flash-Lite,gem31flashlite,Google,reg,1,500,500,0.0,none,0.0128,0.0,500,497,497,3,20,0.441,1.0,8.9058,1.0,0.1558,1.0,3.7776,1.0,0.1558,1.0,3.7776,1.0,0.091,0.0678,0.9569,0.515,210,19,0,210,19,0,0.0,hit3,0.0,R23,0.0,0.0,9.0476,0.0,0.5257,1.0,10.6501,1.0,0.4416,1.0,8.8944,1.0,0.0,0.0,0.0,0.0,0.5257,1.0,11.3934,0.8621,10.6501,1.0,0.4416,1.0,11.6954,0.969,8.8944,1.0,1.0,1.0,3,1.0,1.0,clean,0.0
ld50,LD50 (Zhu),measured,Gemini 3.1 Flash-Lite,gem31flashlite,Google,t1024,2,500,500,0.0,max_tokens:1024,0.394,989.0,500,497,497,3,20,1.4141,0.0005,13.4486,0.0005,6.2265,0.0785,45.4888,0.042,6.2265,0.0785,45.4888,0.042,0.6141,0.6235,0.7314,0.352,271,70,39,271,73,40,7.8471,hit3,55.7143,R23,7.8471,7.8,25.8303,55.7143,0.4703,0.0005,11.7743,0.0005,1.1333,0.0005,10.9445,0.0005,5.6288,10.2616,43.6613,67.5333,0.4703,0.0005,10.7797,0.0005,11.7743,0.0005,1.1333,0.0005,19.0469,0.0005,10.9445,0.0005,0.0018,0.0018,3,0.0015907172995780591,0.0015907172995780591,heavy,6.92411541515927
ld50,LD50 (Zhu),measured,Gemini 3.1 Pro,gem31pro,Google,reg,1,500,500,0.0,max_tokens:128,1.0905,307.0,500,497,497,3,20,1.5748,0.0005,11.3492,0.0005,8.742,0.3098,44.0068,0.2899,8.742,0.3098,44.0068,0.2899,0.7522,0.7584,0.6046,0.256,316,100,47,316,106,52,9.4567,hit3,47.0,R23,9.4567,9.4,31.6456,47.0,0.2545,0.0005,7.4963,0.0005,1.227,0.0005,9.0304,0.0005,6.841,12.0724,36.5518,56.2518,0.2545,0.0005,8.6965,0.0005,7.4963,0.0005,1.227,0.0005,22.2646,0.0005,9.0304,0.0005,0.0037,0.0037,3,0.0015907172995780591,0.0015907172995780591,heavy,7.707171964140178
ld50,LD50 (Zhu),measured,Gemini 3.1 Pro,gem31pro,Google,t1024,2,500,500,0.0,max_tokens:1024,1.8891,551.5,500,497,497,3,20,1.9014,0.0005,13.0473,0.0005,9.8448,0.1229,46.6798,0.0075,9.8448,0.1229,46.6798,0.0075,0.7833,0.7815,0.573,0.266,313,98,57,313,103,61,11.4688,hit3,58.1633,R23,11.4688,11.4,31.3099,58.1633,0.3013,0.0005,9.0167,0.0005,1.5117,0.0005,10.577,0.0005,8.8481,14.2857,48.3429,67.5926,0.3013,0.0005,9.4314,0.0005,9.0167,0.0005,1.5117,0.0005,22.6676,0.0005,10.577,0.0005,0.0018,0.0018,3,0.0015907172995780591,0.0015907172995780591,heavy,7.586690480915525
ld50,LD50 (Zhu),measured,Gemini 3.5 Flash,gem35flash,Google,reg,1,500,500,0.0,minimal,0.0765,0.0,500,497,497,3,20,0.4703,0.6967,10.5934,0.6512,0.4416,0.6592,9.6608,0.5807,0.4416,0.6592,9.6608,0.5807,0.5348,0.5285,0.804,0.524,225,24,2,225,26,2,0.4024,hit3,8.3333,R23,0.4024,0.4,10.6667,8.3333,0.3085,0.4588,9.5037,0.5187,0.4777,0.7051,10.8723,0.6577,0.0,1.006,0.0,21.7512,0.3085,0.4588,9.7001,0.3293,9.5037,0.5187,0.4777,0.7051,9.5175,0.2089,10.8723,0.6577,1.0,0.9873,3,0.9039039049235994,0.8639473867595818,clean,0.8423696880887586
ld50,LD50 (Zhu),measured,Gemini 3.5 Flash,gem35flash,Google,t1024,2,500,500,0.0,max_tokens:1024,1.7125,684.5,500,497,497,3,20,2.2865,0.0005,15.6822,0.0005,12.2194,0.0615,54.4878,0.0075,12.2194,0.0615,54.4878,0.0075,0.8037,0.7944,0.5471,0.277,322,111,73,322,113,77,14.6881,hit3,65.7658,R23,14.6881,14.6,34.472,65.7658,0.3521,0.0005,9.8766,0.0005,1.8024,0.0005,12.6289,0.0005,11.67,18.1087,56.25,75.0057,0.3521,0.0005,10.184,0.0005,9.8766,0.0005,1.8024,0.0005,22.5917,0.0005,12.6289,0.0005,0.0018,0.0018,3,0.0015907172995780591,0.0015907172995780591,heavy,8.149189968930315
