dataset,tag,model,n_mol,n_hit,hit3,regime,r,rho,mae,rmse,medae,r_clip,mae_clip,rmse_clip,n_wild,r_res,rho_res,mae_res,rmse_res,medae_res,r_clip_res,mae_clip_res,rmse_clip_res,n_wild_res,r_res_lo,r_res_hi,dr,dr_clip,drho,dmae,drmse
esol,gpt41,GPT-4.1,398,4,1.005,clean,0.7784,0.7616,0.9929,1.2885,0.831,0.7784,0.9929,1.2885,0,0.7765,0.7579,1.0029,1.295,0.845,0.7765,1.0029,1.295,0,0.7331,0.815,0.0018,0.0018,0.0037,0.0101,0.0065
esol,mistrall,Mistral Large 2512,398,4,1.005,clean,0.7313,0.7298,0.9719,1.3475,0.72,0.7313,0.9719,1.3475,0,0.7163,0.7267,0.9817,1.3543,0.725,0.7163,0.9817,1.3543,0,0.6615,0.7697,0.0149,0.0149,0.0031,0.0099,0.0068
esol,qwen3,Qwen3-235B,398,0,0.0,clean,0.6823,0.6942,1.1069,1.4094,0.905,0.6829,1.1066,1.4081,1,0.6823,0.6942,1.1069,1.4094,0.905,0.6829,1.1066,1.4081,1,0.6243,0.7329,0.0,0.0,0.0,0.0,0.0
esol,grok43,Grok 4.3,398,30,7.5377,partial,0.052,0.6587,28.1879,210.7919,0.455,0.6142,1.0711,1.9384,34,0.0574,0.6349,30.4857,219.2156,0.51,0.5832,1.1584,2.0158,34,-0.058,0.1469,-0.0054,0.031,0.0237,2.2979,8.4237
esol,haiku45,Claude Haiku 4.5,378,2,0.5291,clean,0.0072,0.4685,36.2827,258.1127,1.085,0.4758,1.7245,2.5314,50,0.0074,0.4668,36.4757,258.7983,1.09,0.4752,1.7337,2.5382,50,-0.0485,0.0723,-0.0003,0.0006,0.0017,0.193,0.6856
freesolv,opus5,Claude Opus 5,384,157,40.3646,heavy,0.9666,0.9582,0.4423,1.0164,0.025,0.9666,0.4423,1.0164,1,0.9242,0.9223,0.7472,1.322,0.26,0.9242,0.7472,1.322,0,0.8828,0.955,0.0423,0.0423,0.0359,0.3048,0.3056
freesolv,sol,GPT-5.6 sol,384,59,14.8438,heavy,0.9604,0.9617,0.6194,1.0983,0.34,0.9604,0.6193,1.0983,2,0.9469,0.9543,0.7314,1.1938,0.43,0.9469,0.7313,1.1938,1,0.928,0.9608,0.0136,0.0136,0.0074,0.1119,0.0955
freesolv,grok45,Grok 4.5,383,117,30.0261,heavy,0.9577,0.9601,0.4777,1.1355,0.07,0.9577,0.4776,1.1355,1,0.9336,0.9436,0.6867,1.3625,0.28,0.9336,0.6867,1.3625,0,0.9077,0.959,0.0241,0.0241,0.0165,0.2091,0.227
freesolv,gpt55,GPT-5.5,384,28,7.0312,partial,0.9554,0.9531,0.695,1.2083,0.32,0.9554,0.6949,1.2083,1,0.9492,0.95,0.7495,1.2549,0.385,0.9492,0.7495,1.2549,0,0.931,0.9645,0.0062,0.0062,0.0031,0.0546,0.0466
freesolv,gem35flash,Gemini 3.5 Flash,384,15,3.9062,partial,0.9523,0.9533,0.8297,1.3785,0.45,0.9523,0.8289,1.3784,2,0.9516,0.9526,0.8634,1.4062,0.48,0.9515,0.8626,1.4061,2,0.9391,0.9631,0.0008,0.0008,0.0008,0.0337,0.0277
freesolv,gem31pro,Gemini 3.1 Pro,384,9,2.3438,partial,0.9471,0.9427,0.8557,1.3338,0.565,0.9472,0.8554,1.3323,1,0.945,0.9403,0.8762,1.3497,0.58,0.9452,0.8759,1.3482,1,0.926,0.9612,0.002,0.002,0.0024,0.0205,0.0159
freesolv,gem36flash,Gemini 3.6 Flash,383,10,2.611,partial,0.944,0.9549,0.7485,1.2925,0.39,0.9441,0.7465,1.2915,2,0.9427,0.9539,0.7685,1.3098,0.41,0.9428,0.7664,1.3087,2,0.9296,0.9566,0.0013,0.0013,0.001,0.02,0.0172
freesolv,sonnet5,Claude Sonnet 5,384,26,6.5104,partial,0.9373,0.9342,0.9839,1.5813,0.57,0.9373,0.9838,1.5811,2,0.9316,0.9313,1.0553,1.6377,0.64,0.9316,1.0552,1.6375,1,0.913,0.9479,0.0058,0.0058,0.0028,0.0714,0.0564
freesolv,gem3flash,Gemini 3 Flash,384,16,4.1667,partial,0.9369,0.9529,0.8904,1.5672,0.415,0.9369,0.8902,1.5672,1,0.9353,0.9512,0.9291,1.6009,0.43,0.9353,0.9288,1.6009,1,0.9186,0.9508,0.0016,0.0016,0.0017,0.0386,0.0337
freesolv,luna,GPT-5.6 luna,384,9,2.0833,partial,0.9218,0.9224,1.0576,1.6138,0.64,0.9226,1.054,1.6037,4,0.9139,0.9201,1.0829,1.633,0.68,0.9148,1.0793,1.6229,3,0.8929,0.9328,0.0079,0.0078,0.0023,0.0253,0.0193
freesolv,terra,GPT-5.6 terra,384,15,3.6458,partial,0.9216,0.9195,0.9646,1.5945,0.59,0.9216,0.9642,1.5943,2,0.9135,0.9171,1.0037,1.6265,0.62,0.9136,1.0034,1.6264,1,0.8902,0.935,0.008,0.008,0.0024,0.0391,0.0321
freesolv,kimik3,Kimi K3,383,15,3.9164,partial,0.8452,0.8911,1.3254,2.4487,0.55,0.8682,1.256,2.1918,13,0.8411,0.8884,1.3794,2.4981,0.58,0.8643,1.3071,2.236,13,0.7951,0.8843,0.0042,0.0039,0.0028,0.054,0.0494
freesolv,gem31flashlite,Gemini 3.1 Flash-Lite,384,1,0.2604,clean,0.8417,0.8905,1.558,2.5353,0.775,0.8615,1.4916,2.3103,11,0.8409,0.89,1.5621,2.5387,0.78,0.8608,1.4955,2.3134,11,0.8053,0.8791,0.0008,0.0007,0.0004,0.0041,0.0033
freesolv,gem25pro,Gemini 2.5 Pro,383,2,0.5222,clean,0.827,0.8907,1.5136,2.3082,0.92,0.827,1.5136,2.3082,0,0.827,0.8907,1.5216,2.3143,0.92,0.827,1.5216,2.3143,0,0.7837,0.8647,0.0,0.0,0.0001,0.0079,0.0061
freesolv,minimaxm3,MiniMax M3,373,23,6.1662,partial,0.7811,0.8366,1.5651,2.7274,0.76,0.8172,1.519,2.4734,5,0.7697,0.8262,1.6678,2.8156,0.835,0.8075,1.6187,2.5534,5,0.6782,0.8483,0.0114,0.0098,0.0105,0.1027,0.0882
freesolv,mistrall,Mistral Large 2512,384,7,1.8229,clean,0.3252,0.8669,1.945,8.9214,0.79,0.7587,1.4805,2.6103,3,0.3204,0.8634,1.9811,9.0038,0.8,0.7532,1.5079,2.6345,3,0.2538,0.8383,0.0048,0.0055,0.0034,0.0361,0.0824
freesolv,gpt5,GPT-5,384,3,0.7812,clean,0.7003,0.7393,3.1,4.7137,1.795,0.7528,2.5311,3.595,69,0.6985,0.7358,3.1243,4.7322,1.82,0.7512,2.551,3.6091,69,0.6431,0.7517,0.0018,0.0017,0.0035,0.0243,0.0185
freesolv,gpt41,GPT-4.1,384,2,0.5208,clean,0.6013,0.7383,2.1207,4.0547,1.435,0.7383,2.0099,2.8421,3,0.6008,0.7367,2.1318,4.0653,1.44,0.7379,2.0204,2.8495,3,0.4646,0.7998,0.0005,0.0004,0.0016,0.0111,0.0106
freesolv,llama4mav,Llama 4 Maverick,384,3,0.7812,clean,0.5195,0.765,1.8923,4.3495,1.19,0.7283,1.7571,2.7084,1,0.5173,0.7638,1.9072,4.3666,1.2,0.7265,1.7709,2.719,1,0.3839,0.789,0.0023,0.0019,0.0012,0.0148,0.0171
