dataset,dataset_name,ds_class,model,tag,vendor,arm,blocks,n_call,n_queried,trunc,reasoning,cost,think,n_pred,n_usable,n_mol,level,n_bins,mp_chance_hit,mp_p_hit,mp_chance_deep,mp_p_deep,rs_chance_hit,rs_p_hit,rs_chance_deep,rs_p_deep,rs_chance_hit3,rs_p_hit3,rs_chance_R23,rs_p_R23,pearson,spearman,rmse,medae,m1,m2,m3,h1,h2,h3,hit,hit_stat,deep,deep_stat,hit3,hit3_all,R12,R23,chance_hit,p_hit,chance_deep,p_deep,mb_chance_hit,mb_p_hit,mb_chance_deep,mb_p_deep,hit_lo,hit_hi,deep_lo,deep_hi,chance_hit3,p_hit3,chance_R12,p_R12,chance_R23,p_R23,mb_chance_hit3,mb_p_hit3,mb_chance_R12,mb_p_R12,mb_chance_R23,mb_p_R23,q_hit_joint,q_deep_joint,regime_old,smooth_floor,R12_smooth_floor,R23_smooth_floor,R13_smooth_floor,hit1_smooth_floor,floor_R12,floor_R23,guard_R12,guard_R23,testable,p_R12_binom,p_R23_binom,p_hit3_binom,p_m1_binom,floor_m1,rate_m1,q_hit3,q_R12,q_R23,first_figure_at_chance,verdict,evidence,regime,breadth_R12,breadth_R23,excess_R12,excess_R23,floor_hit3,rel_medae,excess_hit3,recall_signature
antiviral,Antiviral potency (ASAP/Polaris 2025),neg_control,Grok 4.5,grok45,xAI,reg,1,500,500,0.0,low,1.2406,332.0,498,456,456,3,20,0.2318,0.2829,6.926,0.2554,0.4436,0.5947,13.6515,0.5902,0.4436,0.5947,13.6515,0.5902,0.383,0.3795,1.0791,0.845,134,18,2,134,19,2,0.4386,hit3,True,R23,0.4386,0.4016,13.4328,11.1111,0.2037,0.2339,8.0214,0.3303,0.2333,0.3018,6.9572,0.2644,0.0,1.0965,0.0,27.7976,0.2037,0.2339,9.8815,0.1044,8.0214,0.3303,0.2333,0.3018,11.4736,0.1884,6.9572,0.2644,0.7006,0.6472,clean,0.393,12.2121,10.1494,1.2395,31.7085,14.685185,11.678801,False,False,True,0.6951078002158408,0.6385017275705372,0.4451938217733601,0.005757305121720573,24.119154,29.385964912280702,,1.0,1.0,False,clean,both rungs at chance,clean,0.0,0.0,0.9147177921149785,0.9513904723609898,0.330744,16.172248803827753,1.3261011537624265,True
antiviral,Antiviral potency (ASAP/Polaris 2025),neg_control,Claude Haiku 4.5,haiku45,Anthropic,reg,1,500,500,0.0,none,0.135,0.0,500,458,458,3,20,0.162,0.1634,7.8654,0.1144,0.4247,0.5802,16.6342,0.3868,0.4247,0.5802,16.6342,0.3868,0.1422,0.1743,1.224,0.89,128,10,2,128,12,2,0.4367,hit3,False,R23,0.4367,0.4,7.8125,20.0,0.1709,0.1824,8.9474,0.1554,0.1537,0.1479,7.5053,0.1004,0.0,1.0917,0.0,50.0,0.1709,0.1824,8.5298,0.5887,8.9474,0.1554,0.1537,0.1479,7.7498,0.4778,7.5053,0.1004,0.4653,0.3697,untestable,0.3745,11.556,10.5832,1.223,30.6179,14.685185,11.678801,False,False,True,0.9937034148891044,,0.4474022770275284,0.03293514161019506,24.119154,27.94759825327511,,1.0,,False,clean,"R12 at chance, R23 no power",clean,0.0,0.1816855676855895,0.5319987456746373,1.7125045627543445,0.330744,17.033492822966508,1.3203565295213215,True
antiviral,Antiviral potency (ASAP/Polaris 2025),neg_control,Kimi K3,kimik3,Moonshot,reg,1,500,500,0.0,none,0.4199,0.0,500,458,458,3,20,0.2674,0.7211,7.643,0.6912,0.2258,0.6467,5.9609,0.5452,0.2258,0.6467,5.9609,0.5452,0.2136,0.2707,2.3696,0.89,123,19,1,123,22,1,0.2183,hit3,True,R23,0.2183,0.2,15.4472,5.2632,0.1897,0.5802,8.9565,0.5797,0.2735,0.7361,7.9859,0.7061,0.0,0.655,0.0,15.7895,0.1897,0.5802,9.7027,0.034,8.9565,0.5797,0.2735,0.7361,12.5748,0.095,7.9859,0.7061,1.0,1.0,clean,0.3919,11.9729,10.6782,1.2785,30.655,14.685185,11.678801,False,False,True,0.44392007623190777,0.9055429958379516,0.7807007678217539,0.09541695380094807,24.119154,26.85589519650655,,1.0,1.0,False,clean,both rungs at chance,clean,0.2046337227074236,0.0,1.0518900510957132,0.4506627007344333,0.330744,17.033492822966508,0.6600270904385265,False
antiviral,Antiviral potency (ASAP/Polaris 2025),neg_control,Llama 4 Maverick,llama4mav,Meta,reg,1,500,500,0.0,none,0.0213,0.0,500,458,458,3,20,0.2098,1.0,7.2698,1.0,0.0011,1.0,0.0521,1.0,0.0011,1.0,0.0521,1.0,0.1295,0.1075,1.189,0.8,154,12,0,154,12,0,0.0,hit3,False,R23,0.0,0.0,7.7922,0.0,0.2455,1.0,7.3371,1.0,0.2245,1.0,7.7513,1.0,0.0,0.0,0.0,0.0,0.2455,1.0,9.7525,0.8991,7.3371,1.0,0.2245,1.0,8.5338,0.7716,7.7513,1.0,1.0,1.0,untestable,0.4421,12.1468,10.89,1.3228,33.4247,14.685185,11.678801,False,False,True,0.9967742944298689,,1.0,2.8719964110333028e-06,24.119154,33.624454148471614,,1.0,,False,clean,"R12 at chance, R23 no power",clean,0.0,0.0,0.5306164001338765,0.0,0.330744,15.311004784688997,0.0,False
antiviral,Antiviral potency (ASAP/Polaris 2025),neg_control,GPT-5.6 luna,luna,OpenAI,reg,1,500,500,0.0,none,0.0055,0.0,500,458,458,3,20,0.3203,0.1709,10.6829,0.1934,0.6764,0.5877,22.5346,0.6432,0.6764,0.5877,22.5346,0.6432,0.4379,0.3404,1.1738,0.8,170,17,3,170,17,3,0.655,hit3,True,R23,0.655,0.6,10.0,17.6471,0.1976,0.059,9.1158,0.1874,0.3059,0.1619,10.2805,0.1854,0.0,1.5284,0.0,38.4615,0.1976,0.059,8.5905,0.2879,9.1158,0.1874,0.3059,0.1619,8.1309,0.1459,10.2805,0.1854,0.4943,0.5173,clean,0.4258,12.5126,10.1642,1.2718,33.4771,14.685185,11.678801,False,False,True,0.9718037239475436,0.31876700163992544,0.19467605245364802,3.878338757953797e-10,24.119154,37.11790393013101,,1.0,1.0,False,clean,both rungs at chance,clean,0.0,0.22152922052401744,0.6809583944635358,1.5110369634691094,0.330744,15.311004784688997,1.9803836199598484,True
antiviral,Antiviral potency (ASAP/Polaris 2025),neg_control,MiniMax M3,minimaxm3,MiniMax,reg,1,500,500,0.2,none,1.0805,0.0,500,458,458,3,20,0.1287,1.0,6.6889,1.0,0.0121,1.0,0.4587,1.0,0.0121,1.0,0.4587,1.0,0.0406,0.2351,4.3262,1.07,101,11,0,101,13,0,0.0,hit3,False,R23,0.0,0.0,10.8911,0.0,0.1165,1.0,6.607,1.0,0.1303,1.0,6.7818,1.0,0.0,0.0,0.0,0.0,0.1165,1.0,8.2782,0.1784,6.607,1.0,0.1303,1.0,8.5313,0.1449,6.7818,1.0,1.0,1.0,untestable,0.3275,11.503,10.8225,1.2449,26.3079,14.685185,11.678801,False,False,True,0.8922101308558575,,1.0,0.8622471753320362,24.119154,22.05240174672489,,1.0,,True,clean,"R12 at chance, R23 no power",clean,0.0,0.0,0.7416385969941816,0.0,0.330744,20.478468899521534,0.0,False
antiviral,Antiviral potency (ASAP/Polaris 2025),neg_control,Mistral Large 2512,mistrall,Mistral,reg,1,500,500,0.0,minimal,0.0263,0.0,500,458,458,3,20,0.085,1.0,4.7815,1.0,0.0067,1.0,0.3057,1.0,0.0067,1.0,0.3057,1.0,0.2676,0.2196,1.3563,1.21,104,9,0,104,10,0,0.0,hit3,False,R23,0.0,0.0,8.6538,0.0,0.0471,1.0,3.3123,1.0,0.0862,1.0,5.1204,1.0,0.0,0.0,0.0,0.0,0.0471,1.0,7.7902,0.3663,3.3123,1.0,0.0862,1.0,8.1165,0.3948,5.1204,1.0,1.0,1.0,untestable,0.274,10.5783,10.9083,1.1539,23.7467,14.685185,11.678801,False,False,True,0.9763836229574724,,1.0,0.775420820698991,24.119154,22.707423580786028,,1.0,,True,clean,"R12 at chance, R23 no power",clean,0.0,0.0,0.5892877754008546,0.0,0.330744,23.157894736842106,0.0,False
antiviral,Antiviral potency (ASAP/Polaris 2025),neg_control,Claude Opus 5,opus5,Anthropic,reg,1,500,500,0.0,none,0.741,0.0,500,458,458,3,20,0.5713,0.5342,12.3716,0.4868,0.6445,0.5697,14.9808,0.5662,0.6445,0.5697,14.9808,0.5662,0.5193,0.5713,1.2133,0.625,176,23,3,176,23,3,0.655,hit3,True,R23,0.655,0.6,13.0682,13.0435,0.5203,0.4328,11.5309,0.3873,0.5667,0.5267,12.3599,0.4908,0.0,1.5284,0.0,28.0,0.5203,0.4328,11.9999,0.3298,11.5309,0.3873,0.5667,0.5267,11.8162,0.2129,12.3599,0.4908,0.9208,0.8937,clean,0.5841,12.8928,11.4194,1.4723,39.6703,14.685185,11.678801,False,False,True,0.7580387664182193,0.5134556981605366,0.19467605245364802,7.495075126709616e-12,24.119154,38.427947598253276,,1.0,1.0,False,clean,both rungs at chance,clean,0.0,0.06853182751091705,0.8898900490528379,1.1168526632143145,0.330744,11.961722488038278,1.9803836199598484,True
antiviral,Antiviral potency (ASAP/Polaris 2025),neg_control,Qwen3-235B,qwen3,Alibaba,reg,1,500,500,0.0,max_tokens:128,0.0147,0.0,500,458,458,3,20,0.1465,1.0,10.814,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.1446,0.1103,1.8352,1.595,77,5,0,77,5,0,0.0,hit3,False,R23,0.0,0.0,6.4935,0.0,0.1404,1.0,9.9236,1.0,0.1599,1.0,11.6856,1.0,0.0,0.0,0.0,0.0,0.1404,1.0,9.3901,0.8056,9.9236,1.0,0.1599,1.0,7.8956,0.6927,11.6856,1.0,1.0,1.0,untestable,0.2031,10.9221,9.7895,1.0692,18.9913,14.685185,11.678801,False,False,True,0.9918808909785489,,1.0,0.9999418515196749,24.119154,16.812227074235807,,1.0,,True,clean,"R12 at chance, R23 no power",clean,0.0,0.0,0.442180333444897,0.0,0.330744,30.526315789473685,0.0,False
antiviral,Antiviral potency (ASAP/Polaris 2025),neg_control,GPT-5.6 sol,sol,OpenAI,reg,1,500,500,0.0,none,0.2726,0.0,500,458,458,3,20,0.3352,1.0,10.3575,1.0,0.0043,1.0,0.1604,1.0,0.0043,1.0,0.1604,1.0,0.6036,0.5112,1.1578,0.81,139,10,0,139,11,0,0.0,hit3,False,R23,0.0,0.0,7.1942,0.0,0.2372,1.0,11.2152,1.0,0.3619,1.0,10.9951,1.0,0.0,0.0,0.0,0.0,0.2372,1.0,10.1768,0.8271,11.2152,1.0,0.3619,1.0,10.5632,0.9545,10.9951,1.0,1.0,1.0,untestable,0.4159,12.403,10.2254,1.2683,32.7959,14.685185,11.678801,False,False,True,0.9977569502029254,,1.0,0.0013829853610287607,24.119154,30.349344978165938,,1.0,,False,clean,"R12 at chance, R23 no power",clean,0.0,0.0,0.48989508814495697,0.0,0.330744,15.50239234449761,0.0,False
